COMPANY_ID,ASX_TICKER,COMPANY_NAME,GICS_SECTOR,GICS_INDUSTRY,MARKET_CAP_AUD,HQ_CITY,HQ_COUNTRY,EMPLOYEE_COUNT,WEBSITE_URL,CAREERS_URL,IR_URL,BLOG_URL,GOVERNANCE_URL,ANNUAL_REPORT_URL
d1ca798429ee595c,SPK.AX,Spark New Zealand,Communication Services,,,,AU,,https://www.spark.com.au/,https://www.spark.com.au/careers,https://www.spark.com.au/investors,https://www.spark.com.au/blog,https://www.spark.com.au/governance,https://www.spark.com.au/investors
194f15c29a40b2ba,STO.AX,Santos,Energy,,,,AU,,https://www.santos.com/,https://www.santos.com/careers,https://www.santos.com/investors,https://www.santos.com/blog,https://www.santos.com/governance,https://www.santos.com/investors
f32d60baeaa1fb6c,SUL.AX,Super Retail Group,Consumer Discretionary,,,,AU,,,,,,,
fd94821fae94ca79,SUN.AX,Suncorp,Financials,,,,AU,,https://www.suncorp.com.au/,https://www.suncorp.com.au/careers,https://www.suncorp.com.au/investors,https://www.suncorp.com.au/blog,https://www.suncorp.com.au/governance,https://www.suncorp.com.au/investors
e163b5779ffe879f,TAH.AX,Tabcorp,Consumer Discretionary,,,,AU,,,,,,,
ecae0c5dfb06e1ee,TCL.AX,Transurban,Industrials,,,,AU,,https://www.transurban.com,https://www.transurban.com/careers,https://www.transurban.com/investors,https://www.transurban.com/blog,https://www.transurban.com/governance,https://www.transurban.com/investors
583289af2650e041,TLC.AX,The Lottery Corporation,Consumer Discretionary,,,,AU,,http://theprestige.com.au/,http://theprestige.com.au/careers,http://theprestige.com.au/investors,http://theprestige.com.au/blog,http://theprestige.com.au/governance,http://theprestige.com.au/investors
a61f793074db8a4f,TLX.AX,Telix Pharmaceuticals,Healthcare,,,,AU,,https://www.dialupchronicles.net/win98stuff.php,https://www.dialupchronicles.net/win98stuff.php/careers,https://www.dialupchronicles.net/win98stuff.php/investors,https://www.dialupchronicles.net/win98stuff.php/blog,https://www.dialupchronicles.net/win98stuff.php/governance,https://www.dialupchronicles.net/win98stuff.php/investors
9cb0904049710570,TNE.AX,TechnologyOne,Information Technology,,,,AU,,https://technologyone.com/,https://technologyone.com/careers,https://technologyone.com/investors,https://technologyone.com/blog,https://technologyone.com/governance,https://technologyone.com/investors
10d100956c8b3a99,TPG.AX,TPG Telecom,Communication Services,,,,AU,,https://www.tpg.com.au/,https://www.tpg.com.au/careers,https://www.tpg.com.au/investors,https://www.tpg.com.au/blog,https://www.tpg.com.au/governance,https://www.tpg.com.au/investors
